City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
543,Bonavista,48.6499,-53.1147,50.0,98,100,14.94,CA,overcast clouds,2021-06-06 03:18:19
544,Ramnagar,29.4,79.1167,92.5,30,6,2.24,IN,clear sky,2021-06-06 03:18:38
545,Hvolsvollur,63.7533,-20.2243,44.82,86,100,4.74,IS,overcast clouds,2021-06-06 03:18:39
546,San Pedro,14.35,121.0167,89.35,66,40,10.11,PH,scattered clouds,2021-06-06 03:18:39
547,Nizhnevartovsk,60.9344,76.5531,55.42,71,0,2.24,RU,clear sky,2021-06-06 03:18:39
548,Matagami,49.7502,-77.6328,44.71,93,1,2.73,CA,clear sky,2021-06-06 03:17:40
549,Kikwit,-5.041,18.8162,71.44,50,30,2.26,CD,scattered clouds,2021-06-06 03:18:39
550,Kidal,18.4411,1.4078,88.52,24,64,10.47,ML,broken clouds,2021-06-06 03:16:11
551,Shebunino,46.4339,141.8603,53.8,91,100,7.4,RU,overcast clouds,2021-06-06 03:18:40
552,San Cristobal,7.7669,-72.225,66.7,99,100,2.75,VE,overcast clouds,2021-06-06 03:14:45
553,Dimitrovgrad,54.2139,49.6184,57.25,73,7,7.36,RU,clear sky,2021-06-06 03:18:40
554,Nieuw Amsterdam,5.8833,-55.0833,77.16,89,58,6.93,SR,broken clouds,2021-06-06 03:18:40
555,Neuquen,-38.9516,-68.0591,48.25,43,91,7.7,AR,overcast clouds,2021-06-06 03:18:40
556,Skjervoy,70.0311,20.9714,43.23,81,8,1.9,NO,clear sky,2021-06-06 03:18:41
557,Salto,-31.3833,-57.9667,53.87,95,74,10.0,UY,broken clouds,2021-06-06 03:17:19
558,Paita,-5.0892,-81.1144,67.59,83,77,11.1,PE,broken clouds,2021-06-06 03:18:41
559,Haverhill,42.7762,-71.0773,80.33,84,1,1.99,US,clear sky,2021-06-06 03:18:41
560,Sao Felix Do Xingu,-6.6447,-51.995,74.95,75,48,2.13,BR,scattered clouds,2021-06-06 03:18:41
561,Asau,46.4333,26.4,55.76,100,51,4.18,RO,broken clouds,2021-06-06 03:12:17
562,Zabol,32.25,67.25,75.04,36,0,6.08,AF,clear sky,2021-06-06 03:18:42
563,Mecca,21.4267,39.8261,80.04,75,0,3.89,SA,clear sky,2021-06-06 03:16:20
564,San Juan,-31.5375,-68.5364,54.88,50,30,6.08,AR,scattered clouds,2021-06-06 03:18:42
565,Enshi,30.3,109.4833,84.15,52,74,1.43,CN,broken clouds,2021-06-06 03:18:42
566,Altay,47.8667,88.1167,54.57,49,0,4.97,CN,clear sky,2021-06-06 03:18:42
567,Puerto Carreno,6.189,-67.4859,75.6,87,20,5.37,CO,few clouds,2021-06-06 03:18:43
568,Jesus Carranza,17.4333,-95.0333,79.72,77,100,3.22,MX,overcast clouds,2021-06-06 03:18:43
569,Batemans Bay,-35.7167,150.1833,65.19,42,2,5.3,AU,clear sky,2021-06-06 03:16:05
570,Ullapool,57.8987,-5.1604,51.94,91,79,2.93,GB,broken clouds,2021-06-06 03:18:43
571,Yeniseysk,58.4497,92.1703,58.51,35,2,12.97,RU,clear sky,2021-06-06 03:18:43
572,Alta Floresta,-9.8756,-56.0861,72.64,66,99,3.94,BR,overcast clouds,2021-06-06 03:18:44
573,Russell,32.3502,-85.1999,76.71,93,100,2.48,US,overcast clouds,2021-06-06 03:15:34
574,Jacqueville,5.2052,-4.4146,80.51,81,49,7.11,CI,light rain,2021-06-06 03:18:44
575,Rosarito,32.3333,-117.0333,66.04,77,0,6.06,MX,clear sky,2021-06-06 03:18:44
